realtime_start,value,date,realtime_end
2019-11-04,4023,2011-09-01,2019-11-04
2019-11-04,3797,2011-10-01,2019-11-04
2019-11-04,3687,2011-11-01,2019-11-04
2019-11-04,3409,2011-12-01,2019-11-04
2019-11-04,3207,2012-01-01,2019-11-04
2019-11-04,3270,2012-02-01,2019-11-04
2019-11-04,3588,2012-03-01,2019-11-04
2019-11-04,3919,2012-04-01,2019-11-04
2019-11-04,4033,2012-05-01,2019-11-04
2019-11-04,4223,2012-06-01,2019-11-04
2019-11-04,4232,2012-07-01,2019-11-04
2019-11-04,4345,2012-08-01,2019-11-04
2019-11-04,4420,2012-09-01,2019-11-04
2019-11-04,4418,2012-10-01,2019-11-04
2019-11-04,4038,2012-11-01,2019-11-04
2019-11-04,3642,2012-12-01,2019-11-04
2019-11-04,3543,2013-01-01,2019-11-04
2019-11-04,3774,2013-02-01,2019-11-04
2019-11-04,3920,2013-03-01,2019-11-04
2019-11-04,4210,2013-04-01,2019-11-04
2019-11-04,4427,2013-05-01,2019-11-04
2019-11-04,4549,2013-06-01,2019-11-04
2019-11-04,4726,2013-07-01,2019-11-04
2019-11-04,4779,2013-08-01,2019-11-04
2019-11-04,4929,2013-09-01,2019-11-04
2019-11-04,5020,2013-10-01,2019-11-04
2019-11-04,4845,2013-11-01,2019-11-04
2019-11-04,4438,2013-12-01,2019-11-04
2019-11-04,3894,2014-01-01,2019-11-04
2019-11-04,4155,2014-02-01,2019-11-04
2019-11-04,4492,2014-03-01,2019-11-04
2019-11-04,4857,2014-04-01,2019-11-04
2019-11-04,5148,2014-05-01,2019-11-04
2019-11-04,5433,2014-06-01,2019-11-04
2019-11-04,5542,2014-07-01,2019-11-04
2019-11-04,5855,2014-08-01,2019-11-04
2019-11-04,6164,2014-09-01,2019-11-04
2019-11-04,6244,2014-10-01,2019-11-04
2019-11-04,5740,2014-11-01,2019-11-04
2019-11-04,5319,2014-12-01,2019-11-04
2019-11-04,4673,2015-01-01,2019-11-04
2019-11-04,4563,2015-02-01,2019-11-04
2019-11-04,5015,2015-03-01,2019-11-04
2019-11-04,5484,2015-04-01,2019-11-04
2019-11-04,5747,2015-05-01,2019-11-04
2019-11-04,5727,2015-06-01,2019-11-04
2019-11-04,5790,2015-07-01,2019-11-04
2019-11-04,6102,2015-08-01,2019-11-04
2019-11-04,6211,2015-09-01,2019-11-04
2019-11-04,6287,2015-10-01,2019-11-04
2019-11-04,5794,2015-11-01,2019-11-04
2019-11-04,5584,2015-12-01,2019-11-04
2019-11-04,5292,2016-01-01,2019-11-04
2019-11-04,5531,2016-02-01,2019-11-04
2019-11-04,5893,2016-03-01,2019-11-04
2019-11-04,6304,2016-04-01,2019-11-04
2019-11-04,6686,2016-05-01,2019-11-04
2019-11-04,6750,2016-06-01,2019-11-04
2019-11-04,6849,2016-07-01,2019-11-04
2019-11-04,7233,2016-08-01,2019-11-04
2019-11-04,7232,2016-09-01,2019-11-04
2019-11-04,7237,2016-10-01,2019-11-04
2019-11-04,6968,2016-11-01,2019-11-04
2019-11-04,6720,2016-12-01,2019-11-04
2019-11-04,6162,2017-01-01,2019-11-04
2019-11-04,6268,2017-02-01,2019-11-04
2019-11-04,6840,2017-03-01,2019-11-04
2019-11-04,7370,2017-04-01,2019-11-04
2019-11-04,7686,2017-05-01,2019-11-04
2019-11-04,7808,2017-06-01,2019-11-04
2019-11-04,7648,2017-07-01,2019-11-04
2019-11-04,7872,2017-08-01,2019-11-04
2019-11-04,7841,2017-09-01,2019-11-04
2019-11-04,7826,2017-10-01,2019-11-04
2019-11-04,7340,2017-11-01,2019-11-04
2019-11-04,6966,2017-12-01,2019-11-04
2019-11-04,6612,2018-01-01,2019-11-04
2019-11-04,7387,2018-02-01,2019-11-04
2019-11-04,7495,2018-03-01,2019-11-04
2019-11-04,7840,2018-04-01,2019-11-04
2019-11-04,8624,2018-05-01,2019-11-04
2019-11-04,8392,2018-06-01,2019-11-04
2019-11-04,8942,2018-07-01,2019-11-04
2019-11-04,8140,2018-08-01,2019-11-04
2019-11-04,9157,2018-09-01,2019-11-04
2019-11-04,8714,2018-10-01,2019-11-04
2019-11-04,7326,2018-11-01,2019-11-04
2019-11-04,6792,2018-12-01,2019-11-04
2019-11-04,6142,2019-01-01,2019-11-04
2019-11-04,6078,2019-02-01,2019-11-04
2019-11-04,6710,2019-03-01,2019-11-04
2019-11-04,7006,2019-04-01,2019-11-04
2019-11-04,7127,2019-05-01,2019-11-04
2019-11-04,7454,2019-06-01,2019-11-04
2019-11-04,7411,2019-07-01,2019-11-04
2019-11-04,7354,2019-08-01,2019-11-04
2019-11-04,7284,2019-09-01,2019-11-04
